Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,211.306625,212.799164,200.721146,205.195297,205.195297,17331310263
2020-02-25,205.247101,205.371765,189.837784,190.589569,190.589569,16826435641
2020-02-26,190.530060,192.102707,171.349701,174.870605,174.870605,20328930344
2020-02-27,174.875870,184.340637,164.684647,175.927750,175.927750,19897207084
2020-02-28,176.109467,181.740524,167.882919,176.859589,176.859589,17598200024
2020-02-29,176.916473,181.146240,171.468643,171.468643,171.468643,14180320296
2020-03-01,171.393906,176.795151,167.008896,171.331573,171.331573,14224626736
2020-03-02,171.128937,181.778351,170.012131,180.587555,180.587555,15903803385
2020-03-03,180.551666,181.639282,173.100266,175.102417,175.102417,15486213854
2020-03-04,175.169281,177.920334,172.613251,174.422180,174.422180,12870529985
2020-03-05,174.518448,181.532623,174.518448,177.036316,177.036316,14054673491
2020-03-06,176.959274,186.639343,176.588211,186.632919,186.632919,14848437962
2020-03-07,186.805267,191.569016,182.045532,182.276810,182.276810,14891291078
2020-03-08,182.221329,182.221329,153.088974,153.250580,153.250580,16327630940
2020-03-09,153.731232,157.742722,146.267975,154.512070,154.512070,18087878003
2020-03-10,155.183426,157.959534,153.069992,155.523148,155.523148,14210790011
2020-03-11,155.523743,157.210236,143.496445,152.039932,152.039932,13251839111
2020-03-12,151.938812,152.240952,88.479576,89.386742,89.386742,17611064503
2020-03-13,89.659538,109.584251,75.827148,108.558937,108.558937,22709556336
2020-03-14,108.869179,109.604225,99.767311,100.493919,100.493919,10383688441
2020-03-15,100.445053,106.519196,99.310242,101.048065,101.048065,10264448932
2020-03-16,100.871986,100.871986,85.625435,90.165802,90.165802,13030878237
2020-03-17,90.003502,97.393814,90.003502,94.005280,94.005280,9972445647
2020-03-18,93.935066,95.794762,94.266159,98.805237,98.805237,9995490403
2020-03-19,98.803131,122.718498,98.711113,118.917931,118.917931,14274931418
2020-03-20,118.966179,127.942436,105.888252,113.937469,113.937469,16275009341
2020-03-21,114.250427,116.714508,109.153427,114.007462,114.007462,11745992905
2020-03-22,114.035301,116.868355,105.833176,106.127342,106.127342,10755239389
2020-03-23,106.165924,116.384201,105.207565,116.384201,116.384201,12206675227
2020-03-24,116.627922,121.346832,114.727432,117.688713,117.688713,12390491678
2020-03-25,117.818924,118.365860,113.022118,114.997139,114.997139,11342245440
2020-03-26,114.992737,113.932976,111.979691,113.408745,113.408745,9317232459
2020-03-27,113.415604,114.001389,107.537430,107.537430,107.537430,9149964572
2020-03-28,107.613548,107.613548,101.936676,105.167747,105.167747,9765072516
2020-03-29,105.190903,105.318359,100.884674,100.862701,100.862701,7981821994
2020-03-30,100.858009,108.385132,100.600471,107.480827,107.480827,9575999306
2020-03-31,107.413208,108.110146,106.713882,107.681221,107.681221,8918986880
2020-04-01,107.696342,109.545242,104.682884,109.545242,109.545242,10060544266
2020-04-02,109.624092,118.779968,109.624092,114.613968,114.613968,12365166309
2020-04-03,114.679581,119.637901,114.082436,115.832123,115.832123,10748022770
2020-04-04,115.933105,118.510857,114.226616,118.382118,118.382118,9738856078
2020-04-05,118.416054,119.123238,115.840904,117.481590,117.481590,9232602056
2020-04-06,117.531975,138.233459,117.479919,138.121780,138.121780,17668962334
2020-04-07,138.131226,142.218979,133.000916,133.786560,133.786560,17551152940
2020-04-08,133.898697,140.557190,133.348877,139.318253,139.318253,13769572119
2020-04-09,139.414719,139.337280,135.315811,137.155579,137.155579,11965838531
2020-04-10,137.173340,137.228058,124.101982,127.249077,127.249077,14443679248
2020-04-11,127.350723,129.483002,124.767616,127.111702,127.111702,10890240192
2020-04-12,127.124855,132.103821,125.588837,129.328552,129.328552,12137890444
2020-04-13,128.990067,129.013367,121.407425,124.779999,124.779999,13146556331
2020-04-14,124.841003,127.680634,124.416092,124.825172,124.825172,11661564548
2020-04-15,124.800812,127.647064,122.079536,122.420280,122.420280,11318058545
2020-04-16,122.351212,138.785553,120.400307,137.871384,137.871384,18347734735
2020-04-17,null,null,null,null,null,null
2020-04-18,137.190109,150.238113,137.190109,149.417557,149.417557,16116001278
2020-04-19,149.375977,150.364777,143.987137,145.448151,145.448151,15333296298
2020-04-20,145.340256,149.106888,136.993820,138.472992,138.472992,17091755322
2020-04-21,138.248398,141.070343,138.517212,140.453018,140.453018,13382624248
2020-04-22,140.398300,149.112656,139.781967,148.191605,148.191605,14603859427
